d
0.00
0.00
0.00
0.00
13.00
0.00
0.00
13.00
0.00
0.00
0.00
3.00
0.00
35.00
5.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
23.00
0.00
0.00
18.00
1.00
9.00
23.00
3.00
0.00
0.00
0.00
0.00
0.00
0.00
2.00
0.00
0.00
11.00
0.00
24.00
0.00
0.00
0.00
1.00
0.00
7.00
0.00
0.00
15.00
0.00
0.00
0.00
0.00
0.00
9.00
4.00
0.00
495.00
16.00
0.00
0.00
0.00
25.00
7.00
0.00
0.00
0.00
498.00
0.00
0.00
35.00
16.00
3.00
0.00
1.00
0.00
489.00
1.00
0.00
0.00
0.00
20.00
0.00
0.00
0.00
0.00
0.00
12.00
24.00
0.00
19.00
0.00
4.00
0.00
0.00
0.00
0.00
0.00
0.00
1.00
0.00
0.00
0.00
2.00
10.00
0.00
17.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
492.00
12.00
0.00
0.00
0.00
0.00
16.00
0.00
0.00
0.00
490.00
0.00
0.00
0.00
0.00
0.00
47.00
34.00
35.00
0.00
0.00
0.00
0.00
0.00
35.00
40.00
0.00
0.00
32.00
0.00
8.00
22.00
1.00
0.00
0.00
1.00
0.00
0.00
0.00
0.00
0.00
50.00
6.00
1.00
43.00
0.00
19.00
0.00
0.00
37.00
0.00
0.00
42.00
0.00
6.00
3.00
0.00
0.00
0.00
492.00
489.00
0.00
0.00
0.00
36.00
1.00
2.00
0.00
0.00
487.00
491.00
25.00
7.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
8.00
2.00
0.00
0.00
1.00
0.00
0.00
28.00
0.00
0.00
0.00
5.00
0.00
0.00
0.00
7.00
21.00
0.00
0.00
0.00
0.00
33.00
0.00
0.00
1.00
1.00
18.00
0.00
0.00
8.00
0.00
0.00
0.00
0.00
0.00
5.00
0.00
489.00
489.00
0.00
25.00
19.00
0.00
0.00
0.00
36.00
31.00
490.00
0.00
9.00
0.00
0.00
0.00
13.00
0.00
0.00
0.00
0.00
0.00
16.00
0.00
2.00
0.00
0.00
0.00
15.00
0.00
0.00
0.00
0.00
0.00
0.00
10.00
0.00
0.00
0.00
28.00
0.00
0.00
